"Permitir_Inmigrantes_Etnicos","Permitir_Inmigrantes_Pobres","Impacto_Economico_Inmigracion","Impacto_Cultural_Inmigracion","Impacto_Calidad_Vida_Inmigracion","Edad_Encuestado","Anios_Educacion_Completados","Satisfaccion_Ingresos_Hogar","Pais","Genero","Tipo_Domicilio","Rango_Edad","Region_Geografica","Nivel_Educacion_Agrupado"
2,2,6,5,5,20,12,2,"Austria","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,3,4,4,4,80,9,2,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,8,9,8,75,9,2,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,5,5,5,51,15,2,"Austria","Male","A big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,0,0,0,87,11,2,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,6,2,2,57,15,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,5,4,3,76,11,1,"Austria","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,7,5,6,61,11,2,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,3,7,3,3,43,13,2,"Austria","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,3,5,3,2,43,17,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,3,6,5,4,51,12,3,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,7,4,5,69,13,1,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,6,7,6,47,15,1,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,6,2,1,89,12,1,"Austria","Male","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
4,4,4,5,4,72,14,2,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,4,5,5,5,74,18,2,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,4,3,68,11,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,2,10,5,10,36,13,1,"Austria","Female","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,2,6,6,3,87,15,1,"Austria","Male","Country village","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
2,4,5,5,5,24,11,3,"Austria","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
3,3,6,5,4,59,12,2,"Austria","Male","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,2,1,2,32,13,3,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,4,3,5,4,47,13,2,"Austria","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,10,5,5,45,12,1,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,5,5,4,44,13,2,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,4,5,1,1,68,13,3,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,6,6,5,33,11,2,"Austria","Male","Farm or home in countryside","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,2,9,8,5,27,12,2,"Austria","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
4,4,3,4,2,28,11,3,"Austria","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
2,2,8,8,8,73,12,1,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,9,8,7,62,12,1,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,3,7,5,5,58,12,2,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,7,10,10,90,16,1,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
3,3,7,4,4,38,13,3,"Austria","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,4,5,5,3,85,9,3,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
1,1,8,8,8,42,20,1,"Austria","Male","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
4,4,0,0,0,76,11,2,"Austria","Male","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,1,2,2,70,11,2,"Austria","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
4,3,4,4,4,28,12,3,"Austria","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,2,4,5,4,18,11,1,"Austria","Male","Country village","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
2,3,5,4,4,64,12,3,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,2,5,4,4,59,9,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Primaria"
1,2,8,4,3,49,12,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,5,4,5,71,12,2,"Austria","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,10,8,8,58,17,3,"Austria","Male","Farm or home in countryside","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,7,7,7,74,15,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
1,1,8,10,8,86,18,2,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
3,3,6,4,4,26,11,3,"Austria","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
1,3,7,10,10,52,12,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,4,5,2,1,63,13,1,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,61,12,2,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,67,19,1,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,8,5,2,68,11,1,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,3,7,6,5,50,12,1,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,10,6,6,62,12,2,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,5,5,5,64,12,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,3,2,4,39,18,1,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,3,5,6,6,43,11,1,"Austria","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
1,3,8,7,4,47,13,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
4,4,3,3,3,30,11,2,"Austria","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
3,3,6,3,3,48,15,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,1,7,8,5,35,17,2,"Austria","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,9,1,4,48,14,1,"Austria","Male","Farm or home in countryside","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,6,6,5,53,17,2,"Austria","Male","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,7,5,6,54,14,1,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,6,4,4,50,12,3,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,6,6,6,42,12,2,"Austria","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,4,5,4,4,53,12,1,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,4,5,4,23,13,1,"Austria","Male","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,3,1,0,0,55,10,2,"Austria","Male","A big city","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,3,5,6,5,64,12,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,8,10,5,76,14,1,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,6,6,5,57,14,1,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,3,2,2,3,69,13,1,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,10,10,10,47,14,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,3,5,2,57,16,1,"Austria","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,2,7,6,6,57,12,1,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,8,8,8,90,10,2,"Austria","Male","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,0,0,0,44,16,1,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,3,6,7,2,73,20,1,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
3,3,6,3,2,78,8,2,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,0,0,0,72,9,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
4,4,2,3,2,42,9,2,"Austria","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
3,3,5,5,5,17,11,2,"Austria","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
3,3,5,5,5,59,12,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,4,7,0,0,81,8,2,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,3,5,3,50,13,1,"Austria","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,2,1,2,45,19,2,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
3,3,6,5,4,62,9,2,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,5,5,3,71,12,2,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,7,5,4,58,18,1,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,1,0,0,54,17,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,7,2,2,65,12,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
4,4,4,5,3,29,11,2,"Austria","Female","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
3,3,6,5,5,67,11,2,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,7,2,5,69,12,2,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,3,5,5,25,12,2,"Austria","Male","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,3,6,5,4,44,13,2,"Austria","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,3,8,6,5,70,11,2,"Austria","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,10,5,3,61,6,3,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,7,7,8,56,16,1,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
4,4,2,3,3,71,11,2,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,3,2,4,74,12,1,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,7,5,5,39,11,1,"Austria","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,2,9,7,5,69,12,1,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,6,5,4,81,8,2,"Austria","Male","Farm or home in countryside","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,10,10,8,80,15,2,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
2,2,8,9,6,34,15,3,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,3,5,4,3,81,11,1,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,4,5,3,57,11,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,2,7,6,6,30,14,2,"Austria","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,2,10,8,5,70,16,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
2,2,7,5,5,77,9,1,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,5,6,6,66,12,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
4,4,0,0,0,68,9,3,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,4,5,4,70,14,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
4,4,3,4,4,53,12,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,6,4,4,52,13,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,76,15,2,"Austria","Male","A big city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
3,3,7,4,4,77,14,1,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,8,2,4,50,13,1,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
4,4,5,4,5,60,12,2,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,6,4,6,73,15,1,"Austria","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,3,3,2,2,65,12,2,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,3,8,8,8,58,17,2,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,7,7,6,89,13,1,"Austria","Male","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
4,4,2,2,1,48,14,1,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,0,0,0,84,11,2,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,5,4,4,41,12,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,3,8,4,5,86,9,2,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,0,0,0,60,12,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,2,2,2,61,12,2,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,10,10,10,36,12,1,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,2,10,8,5,40,22,3,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
4,4,5,2,3,57,12,3,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,90,9,2,"Austria","Female","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,9,7,5,65,20,1,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
2,4,6,6,6,47,12,1,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,8,9,7,26,15,3,"Austria","Female","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
3,2,6,3,4,35,12,2,"Austria","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,4,3,2,0,52,13,1,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,6,5,6,28,11,1,"Austria","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
1,1,9,7,5,67,12,2,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,3,5,4,63,18,3,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,3,7,5,5,64,12,2,"Austria","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,4,6,4,4,51,12,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,5,6,4,66,16,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
2,2,8,9,8,17,11,1,"Austria","Female","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
2,2,8,5,5,52,12,1,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
4,4,0,3,2,76,11,2,"Austria","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,3,1,1,19,12,2,"Austria","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,4,6,5,4,51,12,3,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
4,4,0,0,0,43,9,2,"Austria","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
4,4,1,0,0,58,9,3,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,4,5,4,4,41,12,2,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,3,5,5,5,80,9,2,"Austria","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,5,5,3,47,14,1,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,1,2,2,52,12,1,"Austria","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
4,4,2,2,2,73,11,2,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,4,4,4,4,53,13,1,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,3,4,4,4,61,11,1,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
4,2,6,4,4,77,12,2,"Austria","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,3,10,10,7,33,12,1,"Austria","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,3,6,6,5,44,12,1,"Austria","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,4,0,0,1,56,12,1,"Austria","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,10,10,10,32,12,2,"Austria","Male","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
4,2,5,4,4,54,12,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
4,4,2,1,1,52,12,2,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,8,8,8,35,18,1,"Austria","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,4,7,5,4,69,12,3,"Austria","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
4,3,5,5,5,85,9,2,"Austria","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,2,3,1,4,57,14,2,"Austria","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,7,8,7,69,25,2,"Austria","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,6,5,7,66,14,1,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,8,8,8,71,12,1,"Austria","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
4,4,1,1,2,82,13,1,"Austria","Male","Country village","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
3,4,2,2,2,85,8,3,"Austria","Male","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,3,6,5,3,74,12,2,"Austria","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,60,12,1,"Austria","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,3,7,3,0,55,12,1,"Austria","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,10,10,6,57,16,1,"Austria","Male","A big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,9,6,5,52,23,2,"Austria","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
3,3,6,3,5,49,12,3,"Austria","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
